,train_loss,val_loss,train_IoU,val_IoU
0,0.08687183856964112,0.048229924589395526,0.576443767501688,0.7765623241662979
1,0.04482223330479529,0.03544670147821307,0.7792116241322623,0.818775075674057
2,0.03795097613086303,0.033515785727649926,0.8057113839520349,0.8328080087900162
3,0.032660122039831346,0.03275875179097056,0.8252624577946133,0.8394790589809418
4,0.030021750088781118,0.030859006755053996,0.8405614488654667,0.8441654592752457
5,0.02840435652890139,0.028704014047980307,0.8486663225624297,0.842892923951149
6,0.026275722889436616,0.027067722845822574,0.8586428764793608,0.8520916640758515
7,0.02438515884698265,0.026354365330189467,0.8690884795453814,0.872510415315628
8,0.02326917519999875,0.024606577586382627,0.8738988959127002,0.8723612636327743
9,0.02213776971006559,0.025665061082690954,0.8794952273368836,0.8632838547229766
10,0.02059640818172031,0.02448845636099577,0.8862682269679175,0.8734414607286454
11,0.019691844201750224,0.02833411293104291,0.8906126297182507,0.8560920298099518
12,0.019367619722874627,0.035718141589313745,0.8922956830925411,0.8410528361797333
13,0.019108960648170775,0.025022776424884798,0.894003642598788,0.8618281304836273
14,0.017350412651689517,0.02196438401006162,0.9025739192962646,0.8829261511564255
15,0.016717640181175535,0.024980117799714208,0.9048216624392403,0.8790795773267746
16,0.01772514911265009,0.0259073318913579,0.9005013349983427,0.8708050042390824
17,0.016593646496120426,0.02260480085387826,0.9064580019977357,0.8821797460317612
18,0.015266152755874727,0.023624656442552804,0.9130844063229031,0.87690971493721
19,0.014769938857191139,0.027081217942759396,0.9153845734066434,0.8783147543668747
20,0.0140873190222515,0.025890815583989025,0.918903277317683,0.8754405021667481
21,0.013746703028058012,0.025299262441694736,0.9206361161337958,0.8780996084213257
22,0.013497006003227499,0.028367657447233796,0.9219431519508362,0.8763420224189759
23,0.01479067273127536,0.02686913344077766,0.9148415866825316,0.8763731062412262
24,0.013435550923976634,0.02380074644461274,0.9226430965794458,0.8849063456058502
25,0.011497690999466513,0.026859846152365207,0.9333250568972693,0.8804046541452408
26,0.010705550074473852,0.027100522164255382,0.9378292262554169,0.8804991453886032
27,0.011820152112179332,0.0326190397143364,0.9315555221504636,0.8682470619678497
28,0.010762452411775788,0.030471691815182566,0.9371277335617277,0.8754728108644485
29,0.009488226716510124,0.02720980062149465,0.9445252007908291,0.8815178334712982
30,0.008813764030734698,0.028945103380829097,0.9485449370410707,0.8809216141700744
31,0.011066914898239903,0.02958151316270232,0.9361832108762529,0.8785449415445328
32,0.008728465792309079,0.031076530972495676,0.9489118725061416,0.8779052734375
33,0.007865339807338185,0.031036206986755133,0.9539071136050754,0.8776753008365631
34,0.0073100670370169814,0.03331387173384428,0.9570186760690477,0.878054341673851
35,0.006801212020218372,0.0329570684581995,0.9600695411364237,0.8773695647716522
36,0.006638941753448711,0.03274131882935762,0.9609201216035419,0.8829665899276733
37,0.006532098192514645,0.03539916560985148,0.9614303529262542,0.8769416809082031
38,0.006228622331077026,0.034706410858780144,0.9632337659597396,0.8810124188661576
39,0.006096861268290215,0.03485516346991062,0.9640843318568335,0.8827765256166458
40,0.006064142144492103,0.034508856292814014,0.9641621414158079,0.8823645323514938
41,0.005634441570792761,0.035565749276429415,0.9668331311808692,0.8808528989553451
42,0.005517334136594501,0.03825278114527464,0.9674712704287635,0.88103286921978
43,0.005382071634651058,0.034122086223214866,0.9682225131326252,0.8857493758201599
44,0.005299489399314754,0.039892909582704306,0.9687084217866262,0.8803414106369019
45,0.005296515797575315,0.03639272395521402,0.9686538332038456,0.8848063528537751
46,0.005124737066216767,0.03761758739128709,0.9696219113137987,0.882185086607933
47,0.004956088264265822,0.04100613128393889,0.9706082814269595,0.8815181612968445
48,0.004869955171468771,0.04007156854495406,0.9712129986948437,0.8825088798999786
49,0.00480364067091917,0.043028895184397696,0.97155897948477,0.8819209903478622
